Direction,N,NNE,ENE,E,ESE,SSE,S,SSW,WSW,W,WNW,NNW,Omni
Degrees,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°,
SpeedBin,,,,,,,,,,,,,
0.0-0.05,4.24,0.65,0.33,0.29,0.14,1.85,6.56,1.2,0.72,0.62,0.4,1.99,18.99
0.05-0.1,6.88,0.0,0.0,0.0,0.0,0.0,13.44,0.07,0.0,0.0,0.0,1.3,21.69
0.1-0.15,6.81,0.0,0.0,0.0,0.0,0.0,16.59,0.0,0.0,0.0,0.0,0.0,23.4
0.15-0.2,3.15,0.0,0.0,0.0,0.0,0.0,17.32,0.0,0.0,0.0,0.0,0.0,20.47
0.2-0.25,0.98,0.0,0.0,0.0,0.0,0.0,11.01,0.0,0.0,0.0,0.0,0.0,11.99
0.25-0.3,0.14,0.0,0.0,0.0,0.0,0.0,3.19,0.0,0.0,0.0,0.0,0.0,3.33
0.3-0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.07
0.35-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.04
Total,22.2,0.65,0.33,0.29,0.14,1.85,68.22,1.27,0.72,0.62,0.4,3.29,99.98
Mean,2.78,0.08,0.04,0.04,0.02,0.23,8.53,0.16,0.09,0.08,0.05,0.41,12.5
Maximum,6.88,0.65,0.33,0.29,0.14,1.85,17.32,1.2,0.72,0.62,0.4,1.99,23.4
