Direction,N,NNE,ENE,E,ESE,SSE,S,SSW,WSW,W,WNW,NNW,Omni
Degrees,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°,
SpeedBin,,,,,,,,,,,,,
0.0-0.05,0.2,0.22,0.58,4.54,2.2,0.65,0.46,0.55,1.59,6.8,1.4,0.29,19.48
0.05-0.1,0.0,0.0,0.0,5.82,1.07,0.0,0.0,0.0,0.13,14.85,0.02,0.0,21.89
0.1-0.15,0.0,0.0,0.0,4.57,0.04,0.0,0.0,0.0,0.0,18.76,0.0,0.0,23.37
0.15-0.2,0.0,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,18.37,0.0,0.0,20.21
0.2-0.25,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,10.68,0.0,0.0,11.21
0.25-0.3,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3.36,0.0,0.0,3.41
0.3-0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.42
0.35-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02
Total,0.2,0.22,0.58,17.35,3.31,0.65,0.46,0.55,1.72,73.26,1.42,0.29,100.01
Mean,0.02,0.03,0.07,2.17,0.41,0.08,0.06,0.07,0.22,9.16,0.18,0.04,12.5
Maximum,0.2,0.22,0.58,5.82,2.2,0.65,0.46,0.55,1.59,18.76,1.4,0.29,23.37
